"Name","State","entropy_tuning","puck_closeness_reward_multiplier","puck_not_touched_yet_reward","tau","Notes","User","Tags","Created","Runtime","Sweep","alpha","batch_size","capacity","continue_training","draw_reward","gamma","lose_reward","lr","lr_alpha","lr_policy","model_dim","only_self_play","render","save_every","save_folder","training_episodes","training_number","update_target_every","win_reward","Reward","outcomes/self_draws","outcomes/self_losses","outcomes/self_wins","outcomes/strong_draws","outcomes/strong_losses","outcomes/strong_wins","outcomes/weak_draws","outcomes/weak_losses","outcomes/weak_wins","policy_loss","q1_loss","q2_loss","self/draws","self/losses","self/wins","strong/draws","strong/losses","strong/wins","weak/draws","weak/losses","weak/wins"
"2025-02-17_17-58-11","finished","adaptive","1","-0.1","1","-","","","2025-02-17T16:58:13.000Z","104852","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-17_17-58-11","10000","2","1000","10","-62.56143764286515","39","8","3","26","18","6","35","15","0","-1356.652847837167","322438.59413906874","323201.03185694723","","","","","","","","",""
"2025-02-17_17-58-00","finished","adaptive","1","-0.1","1","-","","","2025-02-17T16:58:01.000Z","72471","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-17_17-58-00","10000","2","1000","10","9.427532981326271","7","5","38","4","9","37","1","0","49","2.2602579915845715","1.0640152402826255","1.0347930660118927","","","","","","","","",""
"2025-02-17_17-57-55","finished","fixed","1","-0.1","1","-","","","2025-02-17T16:57:56.000Z","99128","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-17_17-57-55","10000","2","1000","10","-9.056992929952631","8","15","27","18","17","15","8","8","34","5.404803489783846","1.295952942266882","1.2364213364532743","","","","","","","","",""
"2025-02-17_17-57-52","finished","fixed","1","-0.1","1","-","","","2025-02-17T16:57:53.000Z","94031","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.0003","256","false","false","100","2025-02-17_17-57-52","10000","2","1000","10","9.283318717438638","5","14","31","7","10","33","4","2","44","4.0415613868019795","0.9011525836857882","0.9478372958573428","","","","","","","","",""
"2025-02-17_17-54-12","finished","none","1","-0.1","0.005","-","","","2025-02-17T16:54:14.000Z","137849","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.00003","256","false","false","100","2025-02-17_17-54-12","10000","2","1","10","4.38266911857635","40","1","9","37","8","5","44","3","3","-16.591319945863056","0.9762886926002308","0.992380453094008","","","","","","","","",""
"2025-02-16_14-42-17","finished","adaptive","5","-0.1","0.005","-","","","2025-02-16T13:42:16.000Z","58408","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.000003","256","false","false","100","2025-02-16_14-42-17","10000","2","","10","7.146993048447371","3","19","28","2","19","29","4","12","34","40.36021822974796","13.224656763530913","12.980570157368978","","","","","","","","",""
"2025-02-16_11-31-19","finished","adaptive","5","-0.1","0.005","-","","","2025-02-16T10:31:17.000Z","59021","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.000003","256","false","false","100","2025-02-16_11-31-19","10000","2","","10","7.590610104561197","1","13","36","2","11","37","4","17","29","36.05857291588416","16.107635620312813","15.749482423831257","","","","","","","","",""
"2025-02-16_11-30-01","finished","adaptive","5","0","0.005","-","","","2025-02-16T10:30:01.000Z","59936","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.000003","256","false","false","100","2025-02-16_11-30-01","10000","2","","10","-22.87223857252516","1","21","28","7","32","11","13","31","6","81.45170084635417","57.30880543542287","55.56173730274987","","","","","","","","",""
"2025-02-16_11-29-23","finished","adaptive","1","0","0.005","-","","","2025-02-16T10:29:20.000Z","63489","","0.2","256","100000","false","0","0.99","-10","0.0003","0.0003","0.000003","256","false","false","100","2025-02-16_11-29-23","10000","2","","10","9.025643677464108","3","23","24","3","16","31","1","13","36","28.294044923782348","19.88028779029846","19.22935981750488","","","","","","","","",""
"2025-02-16_11-19-24","finished","none","1","-0.1","0.005","-","","","2025-02-16T10:19:22.000Z","117012","","0.2","256","100000","false","0","0.99","-10","0.0003","","0.00003","256","false","false","100","2025-02-16_11-19-24","10000","2","","10","-4.421352320008426","42","4","4","39","6","5","39","1","10","-16.02901620218953","0.9710299453412394","0.9679893264732512","","","","","","","","",""
"2025-02-15_23-55-26","finished","adaptive","5","0","0.005","-","","","2025-02-15T22:55:24.000Z","53109","","0.2","256","100000","false","0","0.99","-10","0.0003","","0.00003","256","false","false","100","2025-02-15_23-55-26","10000","2","","10","7.65952394929174","0","27","23","2","14","34","1","2","47","10.61720611109878","2.8224544127782187","2.867155559135206","","","","","","","","",""
"2025-02-15_23-55-05","finished","adaptive","1","0","0.005","-","","","2025-02-15T22:55:03.000Z","76927","","0.2","256","100000","false","0","0.99","-10","0.0003","","0.00003","256","false","false","100","2025-02-15_23-55-05","10000","2","","10","8.603416366412155","18","14","18","2","9","39","6","10","34","4.431770128011704","3.1659294933080675","3.1100381314754486","","","","","","","","",""
"2025-02-15_14-39-41","finished","adaptive","1","-0.1","0.005","-","","","2025-02-15T13:39:41.000Z","65887","","0.2","256","100000","false","0","0.99","-10","0.0003","","0.00003","256","false","false","100","2025-02-15_14-39-41","10000","2","","10","9.025943819592444","3","6","41","4","7","39","2","1","47","3.426588318040294","2.1146330102797477","2.1318817465536055","","","","","","","","",""
"2025-02-15_11-28-32","finished","adaptive","1","-0.1","0.005","-","","","2025-02-15T10:28:33.000Z","70052","","0.2","256","100000","false","0","0.99","-10","0.0003","","","256","false","false","100","2025-02-15_11-28-32","10000","2","","10","8.563947404057174","4","8","38","3","3","44","2","1","47","-1.1952139751331226","0.6848569500285226","0.6750461608171463","","","","","","","","",""
"2025-02-14_16-13-30","finished","fixed","1","-0.1","0.005","-","","","2025-02-14T15:13:30.000Z","109139","","0.2","256","100000","false","0","0.99","-10","0.0003","","","256","false","false","100","2025-02-14_16-13-30","10000","2","","10","-52.71085282575505","25","16","9","18","26","6","33","13","4","-63.43742122118216","1293.640729136676","1290.2223694333993","","","","","","","","",""
"2025-02-14_16-13-27","finished","fixed","1","-0.1","0.005","-","","","2025-02-14T15:13:27.000Z","112250","","0.2","256","100000","false","0","0.99","-10","0.0003","","","256","false","false","100","2025-02-14_16-13-27","10000","2","","10","-7.128638338980668","10","16","24","3","7","40","2","1","47","2.9841729416790237","0.8545667811693898","0.8585417349025073","","","","","","","","",""
"2025-02-14_16-13-16","finished","none","1","-0.1","0.005","-","","","2025-02-14T15:13:16.000Z","147228","","0.2","256","100000","false","0","0.99","-10","0.0003","","","256","false","false","100","2025-02-14_16-13-16","10000","2","","10","-5.338202724387976","35","5","10","32","12","6","41","4","5","-15.891932263317337","0.8602575125447307","0.8594002640579801","","","","","","","","",""
"2025-02-10_17-43-29","finished","adaptive","1","-0.1","0.005","-","","","2025-02-10T16:43:29.000Z","86026","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","false","false","100","checkpoints/2025-02-10_17-43-29","10000","","","10","9.38921179193044","2","8","40","1","2","47","1","1","48","-2.2006263771364765","0.5837844590986928","0.6150625790319135","","","","","","","","",""
"2025-02-10_12-56-20","finished","fixed","5","-0.1","0.005","-","","","2025-02-10T11:56:21.000Z","90324","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","false","false","100","checkpoints/2025-02-10_12-56-20","10000","","","10","6.584573891869967","4","10","36","1","4","45","0","0","50","-0.0833429688724076","0.9605562759608756","1.0131803082256785","","","","","","","","",""
"2025-02-10_12-56-06","finished","fixed","1","-0.1","0.005","-","","","2025-02-10T11:56:07.000Z","106558","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","false","false","100","checkpoints/2025-02-10_12-56-06","10000","","","10","9.318729563538048","4","10","36","3","13","34","0","0","50","1.108109250664711","0.9003342562600186","0.8706612304637307","","","","","","","","",""
"2025-02-10_12-55-55","finished","adaptive","5","-0.1","0.005","-","","","2025-02-10T11:55:55.000Z","103599","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","false","false","100","checkpoints/2025-02-10_12-55-55","10000","","","10","-29.78909952668976","29","14","7","24","12","14","26","17","7","-32.513224015917096","1874.4441301618303","1907.4163473946708","","","","","","","","",""
"2025-02-10_12-55-35","finished","fixed","5","-0.1","0.005","-","","","2025-02-10T11:55:35.000Z","91996","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","true","false","100","checkpoints/2025-02-10_12-55-35","10000","","","10","7.98833679248219","0","10","40","8","27","15","10","19","21","-3.130565692638529","1.1389266067537769","1.1342760591671384","","","","","","","","",""
"2025-02-10_12-55-22","finished","fixed","1","-0.1","0.005","-","","","2025-02-10T11:55:22.000Z","112238","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","true","false","100","checkpoints/2025-02-10_12-55-22","10000","","","10","9.541547242035104","4","11","35","11","17","22","8","6","36","2.2018430193265277","1.172974822918574","1.214380540450414","","","","","","","","",""
"2025-02-10_12-55-02","finished","adaptive","1","-0.1","0.005","-","","","2025-02-10T11:55:03.000Z","108252","","0.2","256","100000","","0","0.99","-10","0.0003","","","256","true","false","100","checkpoints/2025-02-10_12-55-02","10000","","","10","8.058114600374719","3","5","42","10","21","19","20","4","26","0.008431988607706695","0.8206872796190197","0.8559994697570801","","","","","","","","",""
